"id","query","agent","topic"
"1993","cloudshell界面显示offline，无登录窗口","ECS云服务使用-否",""
"1994","无法使用密码登录已经修改/etc/ssh/sshd_config  里对应的信息，但是还是不行","ECS云服务使用-否",""
"1995","xshell无法远程登录服务器","ECS云服务使用","ECS诊断"
"1996","远程无法登录，一直转圈。","ECS云服务使用-否",""
"1997","弹性云服务器登录不上","ECS云服务使用","ECS诊断"
"1998","使用cloudshell无法登录，使用VNC能够登录","ECS云服务使用-否",""
"1999","使用CloudShell登录不了","ECS云服务使用-否",""
"2000","云服务器无法登录","ECS云服务使用","ECS诊断"
"2001","云服务器无法远程登录，也ping不通","ECS云服务使用","ECS诊断"
"2002","无法ping通，而且无法使用公网ip登录cloudshell，私网可以","ECS云服务使用-否",""
"2003","公网IP不通，端口不通，无法远程登录","ECS云服务使用-否",""
"2004","cloudshell无法登录乌班图服务器","ECS云服务使用","ECS诊断"
"2005","ecs无法通过SSH登录，但是VNC可以","ECS云服务使用","ECS诊断"
"2006","云服务器无法登录，重启无法解决","ECS云服务使用","ECS诊断"
"2007","我有台服务器登录不进去了，内网也进不去","ECS云服务使用","ECS诊断"
"2008","cloudshell无法登录，vnc可以登录","ECS云服务使用-否",""
"2009","使用cloudshell登录提示会话上限，选择一个登录进去显示notify backend error","ECS云服务使用-否",""
"2010","登录不上服务器怎么办？","ECS云服务使用","ECS诊断"
"2011","我的云实例登录不上","ECS云服务使用-否",""
"2012","为啥后台能vNC登录 却不能SSh登录","ECS云服务使用-否",""
"2013","服务器无法使用公网ip通过ssh登录","ECS云服务使用","ECS诊断"
"2014","无法通过mstsc登录远程服务器。","ECS云服务使用","ECS诊断"
"2015","云服务器远程桌面无法登录","ECS云服务使用","ECS诊断"
"2016","使用vcn能登录，cloudshell打不开，使用其他远程工具也一样打不开","ECS云服务使用-否",""
"2017","ssh远程登录连接不上去","ECS云服务使用-否",""
"2018","开放了22端口但是无法ssh登录","ECS云服务使用-否",""
"2019","ssh远程登录突然登录不上，重置密码仍然无效，检查安全策略，端口22是放行的。也尝试了网页版的cloudshell和VNC，同样不行。","ECS云服务使用-否",""
"2020","ssh登录不了了，上次也是重启后，说网卡没有设置自启动。这次是报故障，不知道什么原因","ECS云服务使用-否",""
"2021","ssh登录不上后发现ip也ping不通","ECS云服务使用-否",""
"2022","ssh无法远程登录，误删除limits.conf文件","ECS云服务使用-否",""
"2023","ssh无法登录服务器，vnc可以登录","ECS云服务使用","ECS诊断"
"2024","x-shell/控制台远程登录无法登录，提示密码错误","ECS云服务使用-否",""
"2025","无法 ssh 连接。vnc 登录显示以下报错。","ECS云服务使用-否",""
"2026","无法远程连接登录云服务器，使用xshell连接失败，本地ping云服务器的公网IP无法连接","ECS云服务使用","ECS诊断"
"2027","使用cloudShell登录linux服务器时提示无法连接到远程主机,请检查主机网络与端口是否正确","ECS云服务使用","ECS诊断"
"2028","重启后ssh无法登录，22端口sshd进程啥的都没问题，vnc能登上。请解决该问题，然后告诉我问题原因和解决方法，我不能每次重启都提工单吧- -？","ECS云服务使用-否",""
"2029","ping 不通 ssh登录不上  只有官网上的vnc能登上","ECS云服务使用-否",""
"2030","公网通信异常，ping公网ip不同，ssh登录失败，无法访问链接实例","ECS云服务使用-否",""
"2031","已经配置了22端口允许任何ip访问,但是每次想远程登录还是得配置SSH登录白名单,可以让他直接任何ip登录吗?","ECS云服务使用-否",""
"2032","服务器正在运行中，但是使用CloudShell登录无法登录,VNC方式登录可以登录，部署的宝塔链接也无法访问","ECS云服务使用","ECS诊断"
"2033","弹性云服务器无法ssh登录了","ECS云服务使用","ECS诊断"
"2034","公网IP：
[****mask****]  我的服务器， ssh 登录不上去，一直连接失败","ECS云服务使用","ECS诊断"
"2035","vnc可登录，所有端口开放，但是通过公网ip无法登陆，也无法ping通，请问是什么问题","ECS云服务使用-否",""
"2036","目前服务器通过华为云控制台登录服务器是无法登录，一直提示错误，通过安全组代理IP显示配置的特定IP，是否只能通过这个IP登录，或者是否密码错误","ECS云服务使用","ECS诊断"
"2037","重装系统后，无法ssh登录云服务器","ECS云服务使用","ECS诊断"
"2038","重置密码重启后仍不能登录","ECS云服务使用-否",""
"2039","ssh登录云数据库RDS所在的服务器，我该如何操作","ECS云服务使用","兜底"
"2040","ssh无法登录，密码没有问题的。官方的CloudShell登录失败，vscode的sftp配置也登录失败，提示“ll configured authentication methods failed”，xshell登录，偶尔会失败。之前登录也没有问题的。突然就不行了。","ECS云服务使用-否",""
"2041","ECS-CloudShell方式远程登录Linux弹性云服务器失败怎么办？","ECS云服务使用","ECS诊断"
"2042","通过SSH登录服务器，登录不上去，一直卡住。服务器是linux操作系统","ECS云服务使用","ECS诊断"
"2043","通过ssh工具无法访问云主机；通过VNC登录查看无网卡信息，也不能上网","ECS云服务使用","ECS诊断"
"2044","ECS-远程登录时需要输入的账号和密码是多少？","ECS云服务使用","ECS诊断"
"2045","无法远程登录也ping不通","ECS云服务使用-否",""
"2046","登录服务器一直提示密码错误，后台修改5-6次密码，依旧提示密码错误，一直连接不上","ECS云服务使用","ECS诊断"
"2047","云服务器无法进行远程登陆，使用VNC也无法登录成功，并且没有任何提示，重置pwd重启依然没有用","ECS云服务使用","ECS诊断"
"2048","您好，我们新增了一台服务器，在华为云本地可以登录，通过ssh的方式通过公网ip和端口登录不上","ECS云服务使用","ECS诊断"
"2049","远程连接（cloudshell、xshell）无法登录上，确定在安全组开放了22端口，账号密码没有输入错误","ECS云服务使用-否",""
"2050","ecs远程登录ping不通怎么处理","ECS云服务使用","ECS诊断"
"2051","使用时很卡顿，反应速度慢","ECS云服务使用-否",""
"2052","从本周二开始，四个云服务器开始极其卡顿，与之前的使用情况出现严重的区别，需要排查一下，都是中国香港区域的","ECS云服务使用","ECS诊断"
"2053","网络有点卡，怎么能提升一下网络呢，玩游戏体验差","ECS云服务使用-否",""
"2054","服务器CPU使用率过高，运行速度慢","ECS云服务使用","ECS诊断"
"2055","云服务器卡顿
帮忙排查下 是什么原因造成得卡顿","ECS云服务使用","ECS诊断"
"2056","亚马逊后台应用非常卡顿","ECS云服务使用-否",""
"2057","服务器卡顿，反应慢，部署的软件连接不上。这个问题已经提交3次了，希望技术部门重视一下。","ECS云服务使用","ECS诊断"
