"id","query","agent","topic"
"2739","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.uri.keyword` 和 `__time`，我们想要计算日志中每个 URI（`labels.uri.keyword`）在不同时间（按分钟截取）的请求时间的 99 百分位数（`p99`），并按照时间降序排列，最后返回前 1440 条记录。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2740","我在使用LTS服务，已知表名为 `log`，该表包含字段不明确（未指定字段），我们想要比较日志中今天和昨天的总行数，计算其比率，并返回当前 499 数量、昨日 499 数量和比值。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2741","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.status(long)` 和 `labels.host`，我们想要统计日志中状态码为 504、502 以及其他 50X 的记录数量，并排除特定主机（`labels.host`）的记录，最后处理可能的空值情况（将空值替换为 0）。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2742","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.reqAid.keyword`、`labels.meth.keyword` 和 `labels.ip.keyword`，我们想要统计日志中每个不同的应用 Aid（`labels.reqAid.keyword`）、请求接口（`labels.meth.keyword`）和 IP 地址（`labels.ip.keyword`）组合出现的次数，并按照出现次数的降序排列。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2743","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.uri.keyword` 和 `labels.status(long)`，我们想要统计日志中每个 URI（`labels.uri.keyword`）和状态码（`labels.status(long)`）组合出现的次数，并按照出现次数的降序排列。请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2744","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.msg_substring_.keyword`，我们想要统计日志中每个不同的消息子字符串（`labels.msg_substring_.keyword`）出现的次数，并按照出现次数的降序排列，返回出现次数最多的前 5 条记录。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2745","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.msg_substring_.keyword`，我们想要统计日志中每个不同的消息子字符串（`labels.msg_substring_.keyword`）出现的次数，并按照消息子字符串的升序排列。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2746","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.uri.keyword`，我们想要从日志中提取 URI 的前部分（去掉查询参数），并统计每个 URI 的出现次数，最后按照出现次数的降序排列，返回出现次数最多的前 10 条记录。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2747","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.kv_info.keyword`，我们想要统计日志中每个不同的键值信息（`labels.kv_info.keyword`）出现的次数，并按照出现次数的升序排列。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2748","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.uri.keyword`，我们想要从日志中提取 URI 的前部分（去掉查询参数），并统计每个 URI 的出现次数，最后按照出现次数的降序排列。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2749","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.msg.keyword` 和 `labels.error_code(long)`，我们想要统计日志中每组消息内容（`labels.msg.keyword`）和错误代码（`labels.error_code(long)`）组合出现的次数，并按照出现次数的降序排列。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2750","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.msg.keyword`，我们想要从日志中提取消息内容的前 300 个字符（`labels.msg.keyword`），统计每个消息内容的出现次数，并在满足子查询条件（日志表总行数大于等于 5）的情况下，按照出现次数的降序排列，最后返回出现次数最多的前 5 条记录。   请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2751","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.uri.keyword` 和 `labels.status(long)`，我们想要从日志中提取 URI 的前部分（去掉查询参数），并统计每个 URI 和状态码组合的出现次数，在满足子查询条件（日志表总行数大于等于 600）的情况下，按照出现次数的降序排列，最后返回出现次数最多的前 5 条记录。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
"2752","我在使用LTS服务，已知表名为 `log`，该表包含字段 `labels.msg.keyword` 和 `labels.aid.keyword`，我们想要从日志中提取消息内容的前 300 个字符（`labels.msg.keyword`）和应用名（`labels.aid.keyword`），统计每组消息内容和应用名的组合出现的次数，并在满足子查询条件（日志表总行数大于等于 3）的情况下，按照出现次数的降序排列，最后返回出现次数最多的前 5 条记录。  请帮我生成SQL语句。","LTS云服务使用","自然语言生成SQL"
