"id","query","agent","topic"
"499","导航到933ae6be-bc4d-4246-90c1-11e2158563bf","页面导航","快捷导航"
"500","跳转到115e42d1-49ce-4dbb-bced-5550861c9358","页面导航","快捷导航"
"501","打开consolesearch-server-business-gray的详细信息","页面导航","快捷导航"
"502","进入67.62.134.83的页面","页面导航","快捷导航"
"503","导航到89.26.166.27","页面导航","快捷导航"
"504","跳转到56.84.149.175","页面导航","快捷导航"
"505","打开HSS_NETWORK的详情页","页面导航","快捷导航"
"506","进入e0b8aa95-ed16-42eb-bca8-690758e5f970的页面","页面导航","快捷导航"
"507","导航到名称为HSS_NETWORK的资源详情页","页面导航","快捷导航"
"508","跳转到ID为93b66b71-ed49-4217-8664-e6bf6318a3d0的磁盘详情页","页面导航","快捷导航"
"509","打开IP为67.62.134.83的OBS桶详情页","页面导航","快捷导航"
"510","进入名称为ei-pangulargemodels-trust的RDS实例详情页","页面导航","快捷导航"
"511","导航到ID为f8c6a77a-64bc-4487-b034-e427b9113232的资源详情页","页面导航","快捷导航"
"512","跳转到IP为10.8.234.238的资源详情页","页面导航","快捷导航"
"513","打开名称为HSS_NETWORK的RDS节点详情页","页面导航","快捷导航"
"514","进入ID为c442fd96-f71c-488d-8e3f-3b7796b505bd的资源详情页","页面导航","快捷导航"
"515","导航到IP为192.168.3.255的资源详情页","页面导航","快捷导航"
"516","跳转到ID为3023648c-86f5-4f42-b87f-5e8b3b65c081的资源详情页","页面导航","快捷导航"
"517","打开名称为HSS_NETWORK的资源详情页","页面导航","快捷导航"
"518","进入ID为93b66b71-ed49-4217-8664-e6bf6318a3d0的磁盘详情页","页面导航","快捷导航"
"519","导航到IP为67.62.134.83的OBS桶详情页","页面导航","快捷导航"
"520","跳转到名称为ei-pangulargemodels-trust的RDS实例详情页","页面导航","快捷导航"
"521","进入ID为f8c6a77a-64bc-4487-b034-e427b9113232的资源详情页","页面导航","快捷导航"
"522","导航到IP为10.8.234.238的资源详情页","页面导航","快捷导航"
"523","跳转到名称为HSS_NETWORK的资源详情页","页面导航","快捷导航"
"524","打开ID为c442fd96-f71c-488d-8e3f-3b7796b505bd的资源详情页","页面导航","快捷导航"
"525","进入IP为192.168.3.255的资源详情页","页面导航","快捷导航"
"526","导航到id为293cecc3-8289-423d-8cba-0fdc385a9fb6的DDS数据库的详情页","页面导航","快捷导航"
"527","跳转到ip为98.212.159.1的资源的详情页","页面导航","快捷导航"
"528","导航到172.23.140.110的弹性公网IP详情页","页面导航","快捷导航"
"529","跳转到id为f56c443e-9148-42f0-bb6c-c941dcfb30af的CCE集群详情页","页面导航","快捷导航"
"530","打开id为77fd7bc5-fa70-4204-8dd5-cb7edd796e48的虚拟机详情页","页面导航","快捷导航"
"531","进入id为499f2c66-6426-499e-810a-df7560a2f948的RDS节点详情页","页面导航","快捷导航"
"532","导航到名称为ecs-8fcdd的云服务器详情页","页面导航","快捷导航"
"533","跳转到IP为192.168.205.70的资源详情页","页面导航","快捷导航"
"534","打开ID为29d8a767-130e-4dd7-b423-d1ba30833a65的资源详情页","页面导航","快捷导航"
"535","进入名称为rtb-vpc-default-smb的资源详情页","页面导航","快捷导航"
"536","导航到IP为10.41.81.98的资源详情页","页面导航","快捷导航"
"537","跳转到名称为console-search-icsl-06383的资源详情页","页面导航","快捷导航"
"538","打开ID为495b7aaf-22d3-4273-9ebe-2cf91571ce79的资源详情页","页面导航","快捷导航"
"539","进入IP为10.182.15.250的资源详情页","页面导航","快捷导航"
"540","导航到名称为k8s_HTTPS_443的资源详情页","页面导航","快捷导航"
"541","跳转到ID为933ae6be-bc4d-4246-90c1-11e2158563bf的资源详情页","页面导航","快捷导航"
"542","打开名称为rms.kafka.broker1.com.的资源详情页","页面导航","快捷导航"
"543","进入IP为172.30.52.143的资源详情页","页面导航","快捷导航"
"544","导航到名称为ecs-8fcdd的资源详情页","页面导航","快捷导航"
"545","跳转到IP为10.131.47.212的资源详情页","页面导航","快捷导航"
"546","导航到IP为10.131.47.212的资源详情页","页面导航","快捷导航"
"547","进入名称为ecs-8fcdd的资源详情页","页面导航","快捷导航"
"548","跳转到名称为rtb-vpc-default-smb的资源详情页","页面导航","快捷导航"
"549","打开名称为k8s_HTTPS_443的资源详情页","页面导航","快捷导航"
"550","导航到IP为172.30.52.143的资源详情页","页面导航","快捷导航"
"551","进入ID为495b7aaf-22d3-4273-9ebe-2cf91571ce79的资源详情页","页面导航","快捷导航"
"552","导航到id为2815b80f-edaa-4a70-9b78-c48c7f21d442的ECS详情页","页面导航","快捷导航"
"553","跳转到ip为172.31.173.41的网络ACL详情页","页面导航","快捷导航"
"554","打开name为maven.cloudartifact.lfg.dragon.tools.huawei.com的对象存储OBS桶详情页","页面导航","快捷导航"
"555","进入id为6edf5768-2358-4286-b063-0a7ea11f630b的Redis实例详情页","页面导航","快捷导航"
"556","导航到name为ecs-云数据库2的弹性公网IP详情页","页面导航","快捷导航"
"557","2815b80f-edaa-4a70-9b78-c48c7f21d442","页面导航","快捷导航"
"558","10.217.138.222","页面导航","快捷导航"
"559","cn-north-7.5d56bbfe-6f97-4861-a4bc-4b3a6c0ec792","页面导航","快捷导航"
"560","2f2cde76-511a-422d-9621-3999b32d40af","页面导航","快捷导航"
"561","250.104.162.176","页面导航","快捷导航"
"562","10.108.64.104","页面导航","快捷导航"
"563","e0b8aa95-ed16-42eb-bca8-690758e5f970","页面导航","快捷导航"
"564","4f40a69e-64b7-454f-a5b3-7bf4201f0f3c","页面导航","快捷导航"
"565","我的备案","页面导航","快捷导航"
"566","华为云怎么登录我的凭证页面","页面导航","快捷导航"
"567","没有找到我的凭证","页面导航","快捷导航"
"568","我找不到我的凭证这个页面","页面导航","快捷导航"
"569","找不到我的凭证","页面导航","快捷导航"
"570","apiexplorer","页面导航","快捷导航"
"571","请问申请公测完的单据在哪里查看","页面导航","快捷导航"
"572","控制台操作日志在哪里","页面导航","快捷导航"
"573","操作日志怎么找","页面导航","快捷导航"
"574","给出价格计算器链接","页面导航","快捷导航"
"575","价格计算器 定价计算器在哪里","页面导航","快捷导航"
"576","账户ID如何查看","页面导航","快捷导航"
"577","华为云账号ID","页面导航-否",""
"578","WAF控制台 在哪里","页面导航","快捷导航"
"579","企业门户控制台在哪","页面导航","快捷导航"
"580","域名列表在控制台哪里","页面导航","快捷导航"
"581","OBS管理控制台","页面导航","快捷导航"
