"id","query","agent","topic","batch"
"997","请帮忙看下3月份的ECS费用；","账单与成本管理","账单查询","第二批"
"998","从22年12月到12年总花费多少钱","账单与成本管理","账单查询","第二批"
"999","查询23年按产品维度的消费账单","账单与成本管理","账单查询","第二批"
"1000","(combined from similar events): Error creating: pods ""iot-biz-connect-84c4845759-wsbj2"" is forbidden: exceeded quota: quota-sm-prod-esim, requested: limits.memory=7Gi, used: limits.memory=33920Mi, limited: limits.memory=40980Mi quota 在哪里配置的","知识Agent","知识问答","第二批"
"1001","工单查询","工单管理","知识","第二批"
"1002","一个ecs可以绑定多少个虚拟IP，有配额限制吗","配额管理","知识","第二批"
"1003","查询今年4月的账单","账单与成本管理","账单查询","第二批"
"1004","如何联系华为云人工客服","转人工","转人工","第二批"
"1005","转人工售前客服","转人工","转人工","第二批"
"1006","数据可视化 服务申请扩大IAM用户的配额上限是多少","配额管理","知识","第二批"
"1007","相关问题如何提交工单？如何分类","工单管理","提工单","第二批"
"1008","看下4月份的ECS消费；","账单与成本管理","账单查询","第二批"
"1009","帮我看下上个月的账单","账单与成本管理","账单查询","第二批"
"1010","想获取上个月哪些region下有消费；","账单与成本管理","账单查询","第二批"
"1011","想获取哪些region下有消费","账单与成本管理","账单查询","第二批"
"1012","我还有什么在产生消费？","账单与成本管理","账单查询","第二批"
"1013","我有哪些云服务在产生费用","账单与成本管理","账单查询","第二批"
"1014","帮忙统计下此账号23年6月份到24年3月份的总带宽费用","账单与成本管理","账单查询","第二批"
"1015","账单内VPC存在固定带宽，但目前使用的基本都为按需按流量计费，咨询固定带宽费用的来源","账单与成本管理","账单查询","第二批"
"1016","需要查询费用账单","账单与成本管理","账单查询","第二批"
"1017","我的这个服务续费一年需要多少钱","订单管理","续费rag","第二批"
"1018","更改网卡MAC","知识Agent","知识问答","第二批"
"1019","怎么进入软件合作伙伴的角色认证页面","页面导航","快捷导航","第二批"
"1020","上个月的ECS账单","账单与成本管理","账单查询","第二批"
"1021","3月份那个服务花的钱最多","账单与成本管理","账单查询","第二批"
"1022","我想知道去年十二月份的账单情况","账单与成本管理","账单查询","第二批"
"1023","需要当前账号下2022年1月-12月的所有资源和消费金额明细，麻烦提供下，谢谢","账单与成本管理","账单查询","第二批"
"1024","查询有什么产品在按需计费","账单与成本管理","账单查询","第二批"
"1025","请列出我的当前账号中有哪些按需计费的产品","账单与成本管理","账单查询","第二批"
"1026","我想知道我的当前账号中有哪些产品是根据使用情况按需计费的，可以吗？","账单与成本管理","账单查询","第二批"
"1027","按需资源计费的产品是什么","账单与成本管理,知识Agent","知识问答","第二批"
"1028","查看所有项目的年度费用，包括每个月的具体花费及年度汇总。","账单与成本管理","账单查询","第二批"
"1029","请问我这个账号一共消费了多少？之前是代理商帮忙充值的，所以在系统中看不到了","账单与成本管理","账单查询","第二批"
"1030","你好。我目前是按需计费模式，想知道实际发生的详情，请问在哪里可以找到。","账单与成本管理","账单查询","第二批"
"1031","如何通过 ELB 配置 CAE 访问入口","知识Agent","知识问答","第二批"
"1032","盘古大模型可以试用多久","活动优惠券","","第二批"
"1033","为什么优惠券用不了呢？","活动优惠券","","第二批"
"1034","如何重启服务器","资源管理","知识问答","第二批"
"1035","配额扩大","配额管理","配额","第二批"
"1036","DWS扩大配额","配额管理","配额","第二批"
"1037","查询我配额","配额管理","知识","第二批"
"1038","高斯数据库有试用版本吗","活动优惠券","","第二批"
"1039","GaussDB的计费模式是什么？","知识Agent","知识问答","第二批"
"1040","查工单","工单管理","知识","第二批"
"1041","商家管理-关闭工单","工单管理","知识","第二批"
"1042","EVS价格计费","账单与成本管理,知识Agent","知识问答","第二批"
"1043","APM免费体验不能用","活动优惠券","","第二批"
"1044","查询我欠费的资源，","资源管理","资源查询","第二批"
"1045","ECS关机","资源管理","资源关机","第二批"
"1046","虚拟机开机","资源管理","资源开机","第二批"
"1047","提交ECS工单","工单管理","提工单","第二批"
"1048","关机虚拟机，提交工单","工单管理","提工单","第二批"
"1049","免费开通开天集成工作台开通不了","活动优惠券","","第二批"
"1050","导出账单（近2个月）以及所有云资源出来看看","账单与成本管理","账单导出","第二批"
"1051","帮我查一下4月份的ECS的消费","账单与成本管理","账单查询","第二批"
"1052","想获取上个月哪些region下有消费","账单与成本管理","账单查询","第二批"
"1053","ModelArts Studio上创建我的模型扣钱吗","知识Agent","知识问答","第二批"
"1054","查看服务器是否被攻击","资源管理","资源查询","第二批"
"1055","域名配置入口在哪里？","页面导航","快捷导航","第二批"
"1056","上个月ECS花了多少钱","账单与成本管理","账单查询","第二批"
"1057","查看上个月ECS消费","账单与成本管理","账单查询","第二批"
"1058","在工单中提交了关于华为云数据中心分布问题，为什么没有回答？","工单管理","知识","第二批"
"1059","删除资源失败","知识Agent","知识问答","第二批"
"1060","麻烦给我一个华为云安全性和优越性的官网介绍，最好是有页面","知识Agent","知识问答","第二批"
"1061","硬件开发工具链平台云服务 CraftArts IPDCenter  试用支撑团队","活动优惠券","","第二批"
"1062","需要增加短信应用的配额","配额管理","配额","第二批"
"1063","w我的商品退订钱在哪里","订单管理","退订rag","第二批"
"1064","如何进入我的wordpress管理页面","页面导航","快捷导航","第二批"
"1065","如何提工单","工单管理","提工单","第二批"
"1066","ModelArts的可用GPU资源显示不清楚","知识Agent","知识问答","第二批"
"1067","我的产品续费价格比京东云“新老同享”同等配置的要贵110%，有没有可能给我降价？或者不降价，但是把硬盘配额提高到500G？","订单管理","续费rag","第二批"
"1068","什么是工单联系客服？","工单管理","知识","第二批"
"1069","1.92.141.153 查看我这个IP的资源","资源管理","资源查询","第二批"
"1070","安全组修改IP地址条目限制，怎么提交工单","工单管理","提工单","第二批"
"1071","需要人工服务，帮忙设置新解析  往域名管理后台, 替换旧域名mx1部分，修改域名解析（接收外部邮件使用）","转人工","转人工","第二批"
"1072","查找功能在华为云哪个页面","页面导航","快捷导航","第二批"
"1073","如何查看云硬盘的内容","资源管理","资源查询","第二批"
"1074","如何查看云硬盘的文件","资源管理","资源查询","第二批"
"1075","我有几个ECS实例","资源管理","资源查询","第二批"
"1076","硬件开发工具链平台云服务 CraftArts IPDCenter怎么申请试用","活动优惠券","","第二批"
"1077","如何联系专属客户经理？","转人工","转人工","第二批"
"1078","费用中心-设置  在哪里","页面导航","快捷导航","第二批"
"1079","有eip的配额，买不了","配额管理","知识","第二批"
"1080","帮忙提交一下工单：为什么CCE安装了“云原生日志插件”但是运维配置还是显示异常","工单管理","提工单","第二批"
"1081","联系华为云技术支持获取进一步帮助","转人工","转人工","第二批"
"1082","EVS-查看云硬盘资源配额","配额管理","知识","第二批"
"1083","EVS-查看云硬盘已用资源","资源管理","资源查询","第二批"
"1084","eip-如何申请扩大EIP配额？","配额管理","配额","第二批"
"1085","为什么删除不了这个实例","知识Agent","知识问答","第二批"
"1086","120.46.138.142是哪个资源","资源管理","资源查询","第二批"
"1087","重启容器中的实例服务","资源管理","知识问答","第二批"
"1088","ddos达到1g的攻击流量 持续1.5小时多少钱","知识Agent","知识","第二批"
"1089","DDM申请权限入口","页面导航","快捷导航","第二批"
"1090","我想看下我全部的资源","资源管理","资源查询","第二批"
"1091","看下的CCE的集群列表","资源管理","资源查询","第二批"
"1092","有哪些资源有问题","资源管理,知识Agent","资源查询","第二批"
"1093","当前账号DDS 有哪些按需消费的费用","账单与成本管理","账单查询","第二批"
"1094","申请调整北京四的VPC配额","配额管理","配额","第二批"
"1095","上个月流水和明细账单查询","账单与成本管理","账单查询","第二批"
"1096","请帮我获取我的ECS的公网IP","资源管理","资源查询","第二批"
"1097","商品发布 人工客服","转人工","转人工","第二批"
"1098","ELB的全端口监听有哪些区域开通了啊","资源管理","资源查询","第二批"
"1099","查询VPC实例","资源管理","资源查询","第二批"
"1100","查询接口","知识Agent","知识问答","第二批"
"1101","帮我查询本月账单","账单与成本管理","账单查询","第二批"
"1102","hcss_ecs_4121的IP地址是什么","资源管理","知识问答","第二批"
"1103","https://iotda.cn-north-4.myhuaweicloud.com/v5/iot/{project_id}/ota-upgrades/packages ，资源空间查询不全","知识Agent","知识问答","第二批"
"1104","8ab7ae3ceb0a44fdb3d2c0f12f5664d7 帮我查询一下这个资源空间的所有文件","资源管理","资源查询","第二批"
"1105","你好，如果我续费的话，1年多少钱","订单管理","续费rag","第二批"
"1106","北京四的资源","知识Agent","知识问答","第二批"
"1107","北京四CCE的状态","资源管理","资源查询","第二批"
"1108","请帮我查一下 我的IP： 1.92.90.22对应是什么资源","资源管理","资源查询","第二批"
