"id","query","agent","topic"
"2491","SMS全量迁移完毕之后能将目标端关机然后过段时间再执行增量迁移吗？","SMS云服务使用",""
"2492","更换服务器做数据迁移","SMS云服务使用",""
"2493","32核64G 服务器  使用主机迁移服务 可以和 16核128G 适配吗","SMS云服务使用",""
"2494","主机迁移服务","SMS云服务使用",""
"2495","sms-是否支持迁移Windows 2003","SMS云服务使用",""
"2496","云资源从源账号迁移的目标账号，源账号的原有IP是如何处理的","SMS云服务使用",""
"2497","sms-主机迁移服务是否支持将阿里云、腾讯云等其他云服务商服务器迁移到华为云？","SMS云服务使用",""
"2498","我购买了共享流量包 怎么给正在主机迁移的设备提供网速","SMS云服务使用",""
"2499","SMS诊断源端防火墙是否需要特别设置","SMS云服务使用",""
"2500","主机迁移后不能正常开机","SMS云服务使用",""
"2501","主机迁移时源端主机CPU占用率过高是什么原因","SMS云服务使用",""
"2502","我的主机迁移任务{task_name}突然失败了，可能是什么原因？","SMS云服务使用",""
"2503","为什么主机迁移任务总是卡在{某个阶段}就失败了？","SMS云服务使用",""
"2504","主机迁移任务进度条停滞在{百分比}，怎么处理？","SMS云服务使用",""
"2505","迁移过程中源端网络中断，怎么恢复？","SMS云服务使用",""
"2506","源端CPU占用率过高，迁移任务还能继续吗？","SMS云服务使用",""
"2507","已安装的Agent不支持迁移到该Region，请安装最新的Agent进行迁移","SMS云服务使用",""
"2508","SMS.0210 在目的端创建文件失败","SMS云服务使用",""
"2509","SMS.0304 SSL/TSL认证失败","SMS云服务使用",""
"2510","SMS.1104 卸载磁盘xxx失败","SMS云服务使用",""
"2511","如何解决Linux主机迁移后时间异常问题？","SMS云服务使用",""
"2512","Linux块迁移时CPU占用率过高，如何配置迁移数据不压缩？","SMS云服务使用",""
"2513","Linux块迁移，为什么实际迁移速率显示很低？","SMS云服务使用",""
"2514","sms-Linux系统，启动Agent失败，提示：SMS.1351: Mount point /xxx detected on the source server, which has no free space. Ensure that there is at least 1 MB of space.","SMS云服务使用",""
"2515","sms-Linux系统，启动Agent失败，提示：SMS.1352: Unknown physical volumes detected on the source server.","SMS云服务使用",""
"2516","sms-Linux系统，启动Agent失败，提示：SMS.1353: Bind mount or repeated mount detected on /xxx of the source server.","SMS云服务使用",""
"2517","sms-启动Agent失败，提示：SMS.0609，检测到就版本残留，请退出当前agent程序，完全卸载agent后，重新安装最新版","SMS云服务使用",""
"2518","sms-Windows迁移过程中，源端SMS-Agent突然退出，导致与主机迁移控制台断开连接","SMS云服务使用",""
"2519","sms-如何解决/boot分区挂载了xfs文件系统卷引起的grub问题？","SMS云服务使用",""
"2520","Linux操作系统，启动Agent时，提示：SMS.0410：Failed to obtain NicName/IPAddress information of source server.","SMS云服务使用",""
"2521","Linux操作系统，启动Agent时，提示：SMS.6563：File initrd or initramfs of the xxxx version not found under /boot directory. For solution, see SMS API Reference.","SMS云服务使用",""
"2522","Linux操作系统，启动Agent时，提示：SMS.6562：component i386-pc not found on source server. For solution, see SMS API Reference.","SMS云服务使用",""
"2523","sms-“SMS.0303 域名联通失败”该如何处理？","SMS云服务使用",""
"2524","sms-Linux系统调整磁盘分区时，为什么物理卷是否迁移无法选择？","SMS云服务使用",""
"2525","sms-Linux操作系统，启动Agent时，磁盘信息采集失败，该如何处理？","SMS云服务使用",""
"2526","sms-Linux系统调整磁盘分区时，为什么逻辑卷是否迁移无法选择？","SMS云服务使用",""
"2527","sms-Windows迁移后无法启动，KVM驱动或注册表缺失","SMS云服务使用",""
"2528","sms-Windows系统迁移完成，启动/登录系统后出现蓝屏并重启","SMS云服务使用",""
"2529","sms-Window系统，启动Agent提示：SMS.1901，Agent无法读取磁盘信息","SMS云服务使用",""
"2530","sms-应用程序因并行配置不正确无法启动","SMS云服务使用",""
"2531","sms-如何处理“权限不够，请添加相应细粒度权限”？","SMS云服务使用",""
"2532","sms-配置目的端时，提示“您选择目的端的某些磁盘比源端对应要迁移磁盘小，不能满足要求，请重新选择”怎么处理？","SMS云服务使用",""
"2533","sms-如何处理“错误码SMS.1106 删除磁盘***失败”？","SMS云服务使用",""
"2534","sms-如何解决错误码为sms.1113，提示目的虚拟机重新配置分区信息失败问题？","SMS云服务使用",""
"2535","sms-Linux启动Agent时提示“启动SMS Agent失败！磁盘”","SMS云服务使用",""
"2536","sms-MySQL数据库迁移后无法启动","SMS云服务使用",""
"2537","sms-“源端的镜像服务VSS不存在”怎么处理？","SMS云服务使用",""
"2538","sms-“源端缺少必要的驱动文件”怎么处理？","SMS云服务使用",""
"2539","sms-为什么迁移过程中目的端ECS会被锁定？","SMS云服务使用",""
"2540","sms-Linux系统提示“Agent startup failed because the noexec permission is not allow on /tmp for SMS Agent. Please remount /tmp without noexec.”该如何处理？","SMS云服务使用",""
"2541","sms-“源端磁盘信息发生变化，任务执行失败，请删除任务重新启动源端agent”该如何处理？","SMS云服务使用",""
"2542","sms-“迁移分区到目的端失败”或“同步分区到目的端失败”怎么处理？","SMS云服务使用",""
"2543","sms-如何处理“挂载分区XXX到目录XXX失败”？","SMS云服务使用",""
"2544","sms-启动Agent时提示提示“INTERNAL ERROR: cannot create temporary directory!”怎么办","SMS云服务使用",""
"2545","sms-Linux系统/tmp卷空间不足导致agent无法启动该如何处理？","SMS云服务使用",""
"2546","sms-Agent启动时提示“加载wmi模块失败”该如何处理？","SMS云服务使用",""
"2547","sms-Windows2008 Agent启动后无法粘贴AK/SK该如何处理？","SMS云服务使用",""
"2548","sms-Agent无法下载该如何处理？","SMS云服务使用",""
"2549","sms-“无法连接目的虚拟机，请检查目的虚拟机IP是否可达，或者8899、8900端口是否开放”该如何处理？","SMS云服务使用",""
"2550","sms-“与目的服务器建立SSH连接失败”该如何处理？","SMS云服务使用",""
"2551","sms-创建迁移任务时提示“源端是uefi系统，请使用uefi镜像创建目的端虚拟机”该如何处理","SMS云服务使用",""
"2552","sms-目的端系统盘无法挂载该如何处理？","SMS云服务使用",""
"2553","SMS任务报错，名称是{server_name}","SMS云服务使用",""
"2554","主机迁移任务{task_name}卡住了怎么办","SMS云服务使用",""
"2555","SMS任务检查出了目的端内存使用率高出了预期正常吗","SMS云服务使用",""
"2556","主机迁移任务源端网络丢包率高，怎么解决","SMS云服务使用",""
"2557","SMS迁移任务有问题","SMS云服务使用",""
"2558","主机迁移任务报错了","SMS云服务使用",""
"2559","迁移任务报错“{错误代码}”，怎么处理？","SMS云服务使用",""
"2560","SMS提示迁移任务异常终止，如何恢复或重试？","SMS云服务使用",""
"2561","迁移任务运行到一半就卡住了，怎么让它继续？","SMS云服务使用",""
"2562","迁移任务长时间无响应，是不是系统崩溃了？","SMS云服务使用",""
"2563","怎么查看迁移任务卡住的具体原因？","SMS云服务使用",""
"2564","任务状态显示“等待中”，但一直没进展，正常吗？","SMS云服务使用",""
"2565","迁移时目的端CPU飙到100%，是不是有问题？","SMS云服务使用",""
"2566","目的端磁盘空间不足，迁移任务还能完成吗？","SMS云服务使用",""
"2567","迁移过程中目的端负载过高，如何优化？","SMS云服务使用",""
"2568","源端网络丢包率超过5%，迁移会失败吗？","SMS云服务使用",""
"2569","迁移时源端防火墙拦截了流量，怎么放行？","SMS云服务使用",""
"2570","源端带宽不足，迁移速度太慢，怎么解决？","SMS云服务使用",""
"2571","迁移时源端内存不足，如何调整资源分配？","SMS云服务使用",""
"2572","CPU占用率异常飙升，是不是迁移工具的问题？","SMS云服务使用",""
"2573","迁移过程中资源争用严重，怎么平衡负载？","SMS云服务使用",""
"2574","迁移后的主机无法开机，蓝屏了怎么办？","SMS云服务使用",""
"2575","目标端主机迁移后网络配置丢失，怎么恢复？","SMS云服务使用",""
"2576","迁移后系统提示“驱动不兼容”，如何解决？","SMS云服务使用",""
"2577","迁移后的虚拟机启动失败，日志显示“磁盘错误”","SMS云服务使用",""
"2578","不同华为云账号，不同华为云区要进行服务器迁移","SMS云服务使用",""
"2579","主机迁移至其他账号","SMS云服务使用",""
"2580","SMS+0007","SMS云服务使用",""
"2581","如何将阿里云服务器迁移到华为云","SMS云服务使用",""
